"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group D","high school","standard","completed","47","55","49"
"male","group D","some high school","standard","completed","85","74","80"
"female","group E","some high school","free/reduced","completed","83","94","94"
"female","group D","some college","standard","none","70","74","79"
"male","group C","bachelor's degree","standard","completed","70","67","68"
"male","group D","associate's degree","standard","none","79","67","71"
"male","group D","some high school","standard","none","62","55","52"
"female","group C","some college","standard","none","82","88","85"
"female","group D","associate's degree","free/reduced","none","68","74","78"
"male","group C","high school","free/reduced","completed","59","54","52"
"female","group D","associate's degree","standard","none","67","60","60"
"male","group E","associate's degree","free/reduced","none","77","59","56"
"female","group C","some college","standard","none","75","75","75"
"male","group B","some high school","free/reduced","completed","58","54","62"
"female","group E","some high school","free/reduced","none","71","78","70"
"female","group E","high school","free/reduced","none","83","95","94"
"female","group D","associate's degree","standard","none","86","96","99"
"female","group D","some college","standard","none","48","68","68"
"female","group C","high school","standard","none","59","81","67"
"female","group C","bachelor's degree","standard","none","80","84","87"
"female","group B","associate's degree","standard","completed","63","79","79"
"female","group D","some college","free/reduced","none","38","56","48"
"male","group B","high school","standard","none","53","56","51"
"male","group C","some college","standard","none","85","70","69"
"female","group B","associate's degree","free/reduced","completed","53","74","76"
"female","group E","some high school","standard","none","80","93","90"
"female","group D","some college","free/reduced","none","77","96","90"
"female","group D","some college","free/reduced","none","55","71","69"
"male","group C","master's degree","standard","none","90","79","81"
"female","group A","bachelor's degree","standard","none","90","96","93"
"female","group B","high school","standard","completed","71","78","80"
"male","group C","associate's degree","standard","none","71","73","67"
"female","group D","some college","standard","none","44","56","57"
"female","group C","bachelor's degree","standard","none","64","68","75"
"male","group C","some high school","standard","none","44","42","36"
"male","group E","some high school","standard","none","91","77","75"
"male","group D","some high school","free/reduced","completed","43","36","40"
"female","group C","master's degree","standard","completed","73","94","93"
"male","group C","associate's degree","free/reduced","completed","60","71","64"
"male","group D","high school","standard","none","83","91","88"
"male","group A","bachelor's degree","standard","completed","72","64","66"
"male","group B","some high school","standard","none","44","46","45"
"female","group A","some college","standard","none","56","71","73"
"male","group E","bachelor's degree","free/reduced","none","72","64","68"
"female","group E","high school","standard","none","85","100","89"
"male","group C","associate's degree","free/reduced","none","51","48","43"
"female","group D","bachelor's degree","standard","none","90","95","95"
"male","group B","high school","free/reduced","none","77","74","62"
"female","group D","some high school","free/reduced","none","52","60","62"
"female","group D","high school","standard","none","74","69","80"
"male","group D","some college","free/reduced","none","79","76","71"
"female","group B","some college","standard","none","58","71","71"
"female","group C","associate's degree","free/reduced","none","54","65","63"
"female","group D","some high school","standard","none","71","75","76"
"female","group C","high school","free/reduced","none","76","91","81"
"female","group A","associate's degree","standard","completed","71","76","81"
"female","group C","associate's degree","standard","completed","73","81","79"
"male","group C","associate's degree","standard","completed","77","65","65"
"female","group D","associate's degree","free/reduced","none","38","48","47"
"female","group D","some high school","free/reduced","none","54","75","72"
"female","group C","bachelor's degree","free/reduced","none","76","94","82"
"female","group D","high school","standard","none","57","66","65"
"male","group E","associate's degree","standard","none","87","75","72"
"male","group C","some high school","free/reduced","completed","61","69","65"
"female","group C","some high school","standard","completed","57","62","64"
"male","group C","some college","standard","none","64","57","54"
"male","group A","bachelor's degree","standard","completed","56","60","56"
"male","group C","high school","standard","none","79","70","70"
"male","group D","some high school","standard","none","37","35","38"
"female","group D","some high school","free/reduced","completed","56","59","62"
"female","group D","associate's degree","free/reduced","completed","69","73","84"
"male","group E","high school","standard","none","75","67","63"
"male","group D","master's degree","standard","completed","72","74","73"
"female","group D","bachelor's degree","standard","none","55","57","63"
"male","group D","high school","standard","completed","50","58","60"
"female","group B","some college","standard","none","60","69","67"
"male","group D","high school","standard","none","88","82","80"
"male","group E","some college","standard","completed","80","57","68"
"female","group B","some high school","free/reduced","none","65","68","69"
"male","group C","some high school","free/reduced","none","80","72","64"
"male","group B","some high school","standard","none","58","61","50"
"male","group D","master's degree","free/reduced","none","65","66","63"
"male","group A","bachelor's degree","standard","completed","82","74","73"
"male","group C","some high school","free/reduced","none","34","46","42"
"female","group A","high school","free/reduced","completed","73","86","89"
"female","group B","high school","standard","completed","48","53","60"
"male","group E","some college","standard","completed","74","66","63"
"male","group B","some college","free/reduced","none","46","52","43"
"female","group C","high school","standard","completed","65","78","86"
"female","group E","associate's degree","standard","none","75","70","74"
"female","group D","high school","standard","completed","55","62","64"
"male","group A","associate's degree","free/reduced","none","43","42","41"
"male","group A","some high school","free/reduced","none","54","58","54"
"female","group B","associate's degree","standard","none","61","76","72"
"female","group D","some college","free/reduced","completed","50","70","70"
"female","group D","associate's degree","standard","none","58","59","63"
"female","group D","associate's degree","free/reduced","completed","55","70","69"
"male","group D","some college","standard","none","60","48","47"
"female","group C","associate's degree","standard","none","63","73","69"
"male","group D","bachelor's degree","free/reduced","none","71","65","65"
"female","group E","some high school","standard","none","85","82","86"
"male","group E","high school","standard","none","69","59","58"
"female","group A","associate's degree","free/reduced","completed","57","67","59"
"female","group B","some high school","free/reduced","completed","46","60","59"
"female","group B","high school","standard","none","75","85","81"
"female","group C","associate's degree","standard","none","60","60","67"
"male","group C","high school","free/reduced","none","72","72","66"
"male","group D","bachelor's degree","free/reduced","none","61","61","61"
"male","group D","some high school","standard","none","69","69","67"
"male","group C","some college","standard","completed","70","72","71"
"female","group C","high school","free/reduced","completed","54","66","67"
"female","group E","high school","standard","none","78","68","71"
"female","group B","some college","free/reduced","completed","49","60","57"
"female","group C","high school","free/reduced","none","53","65","62"
"female","group A","associate's degree","standard","none","34","39","33"
"female","group D","some high school","standard","none","60","64","63"
"male","group B","high school","free/reduced","none","47","48","46"
"female","group D","associate's degree","standard","completed","73","80","87"
"male","group D","high school","standard","completed","59","61","62"
"male","group D","some high school","standard","none","61","56","48"
"female","group D","some high school","free/reduced","none","65","71","76"
"male","group C","high school","standard","none","59","58","62"
"female","group A","associate's degree","standard","completed","91","96","100"
"female","group C","bachelor's degree","free/reduced","none","62","66","65"
"female","group D","some college","standard","none","74","79","82"
"male","group C","associate's degree","free/reduced","none","65","64","59"
"male","group C","some college","free/reduced","completed","62","69","62"
"male","group D","high school","standard","none","39","50","43"
"female","group C","high school","standard","none","37","54","46"
"female","group E","bachelor's degree","standard","completed","100","100","100"
"male","group C","associate's degree","standard","none","59","63","55"
"male","group D","some college","free/reduced","none","50","53","53"
"male","group A","high school","standard","none","57","47","45"
"female","group B","some college","standard","none","64","65","67"
"female","group E","some high school","standard","none","74","78","75"
"male","group C","some college","free/reduced","completed","47","52","44"
"female","group D","high school","standard","completed","83","91","98"
"female","group E","some high school","standard","none","86","86","78"
"female","group B","some college","standard","completed","56","57","66"
"female","group C","master's degree","standard","none","72","72","74"
"male","group D","high school","standard","none","71","73","69"
"female","group C","some college","free/reduced","none","66","84","76"
"male","group C","bachelor's degree","free/reduced","none","83","91","77"
"female","group E","some high school","standard","none","90","90","86"
"female","group C","associate's degree","standard","completed","61","66","69"
"male","group C","associate's degree","free/reduced","none","48","56","47"
"female","group E","some high school","free/reduced","completed","57","64","64"
"male","group A","associate's degree","standard","completed","76","69","68"
"female","group B","associate's degree","standard","none","55","56","52"
"male","group B","some college","standard","completed","90","88","84"
"male","group E","some college","standard","completed","100","93","85"
"male","group A","associate's degree","free/reduced","completed","65","64","63"
"female","group B","high school","standard","none","61","58","59"
"male","group C","some high school","standard","none","57","58","51"
"female","group C","associate's degree","standard","none","79","90","83"
"female","group C","associate's degree","standard","completed","80","93","92"
"female","group D","master's degree","standard","none","83","77","85"
"female","group B","master's degree","free/reduced","completed","76","100","99"
"male","group B","some high school","standard","none","70","58","59"
"female","group B","associate's degree","free/reduced","none","74","86","85"
"male","group A","some high school","free/reduced","none","53","55","45"
"female","group B","associate's degree","free/reduced","completed","85","95","95"
"male","group B","some college","standard","none","69","64","64"
"male","group D","some college","free/reduced","completed","48","52","54"
"female","group C","high school","free/reduced","none","77","80","84"
"male","group C","some college","free/reduced","none","64","62","56"
"female","group A","some high school","free/reduced","none","16","33","23"
"female","group E","high school","standard","none","95","92","94"
"female","group D","some college","free/reduced","completed","69","81","82"
"female","group D","some high school","standard","none","65","71","71"
"female","group C","associate's degree","standard","completed","74","87","84"
"female","group C","bachelor's degree","standard","none","61","74","67"
"female","group C","associate's degree","free/reduced","none","45","55","52"
"female","group D","some college","standard","none","80","87","85"
"male","group B","associate's degree","free/reduced","none","63","56","48"
"male","group C","master's degree","standard","none","54","49","51"
"male","group C","master's degree","standard","completed","67","66","69"
"female","group D","bachelor's degree","free/reduced","none","68","84","83"
"male","group D","bachelor's degree","standard","completed","85","77","85"
"male","group B","some high school","standard","none","66","67","62"
"female","group C","some high school","standard","none","59","71","72"
"male","group A","some high school","standard","none","74","75","69"
"male","group C","some college","standard","completed","61","73","69"
"male","group E","associate's degree","free/reduced","none","89","86","81"
"female","group E","master's degree","standard","none","82","83","88"
"female","group D","some college","standard","completed","62","65","73"
"male","group E","associate's degree","standard","none","84","68","71"
"male","group E","some high school","standard","none","84","78","72"
"female","group D","high school","standard","completed","71","75","70"
"male","group D","some high school","standard","completed","92","86","90"
"female","group A","associate's degree","free/reduced","none","66","85","87"
"female","group E","associate's degree","standard","none","84","76","81"
"female","group D","some high school","standard","none","54","57","57"
"male","group C","high school","free/reduced","none","59","59","47"
"female","group C","bachelor's degree","standard","none","63","80","81"
"female","group D","master's degree","standard","none","59","69","65"
"male","group C","master's degree","standard","none","64","60","59"
"female","group B","associate's degree","standard","completed","50","56","55"
"female","group D","high school","free/reduced","completed","52","70","69"
"female","group D","some college","free/reduced","none","53","56","61"
"male","group C","high school","free/reduced","none","62","68","58"
"female","group D","high school","free/reduced","completed","72","83","82"
"female","group B","some college","standard","none","69","76","76"
"female","group C","master's degree","free/reduced","completed","55","69","73"
"female","group A","associate's degree","standard","completed","70","83","85"
"female","group C","associate's degree","free/reduced","completed","68","84","87"
"female","group D","some college","free/reduced","none","39","54","57"
"female","group B","some college","free/reduced","none","41","48","48"
"female","group E","some college","standard","none","86","79","85"
"male","group C","high school","free/reduced","none","56","51","50"
"male","group D","some college","standard","none","88","71","70"
"female","group C","high school","standard","none","63","72","63"
"male","group C","high school","standard","none","85","75","73"
"male","group D","some high school","standard","none","82","70","71"
"female","group C","some college","standard","none","71","75","73"
"female","group B","high school","free/reduced","completed","55","71","66"
"female","group D","master's degree","standard","none","84","78","81"
"female","group C","some high school","standard","none","48","58","57"
"male","group C","master's degree","free/reduced","none","76","79","79"
"male","group E","bachelor's degree","free/reduced","none","59","70","57"
"female","group A","associate's degree","standard","completed","87","97","95"
"female","group D","bachelor's degree","free/reduced","none","68","74","75"
"male","group D","associate's degree","free/reduced","none","45","52","45"
"female","group E","high school","standard","completed","65","73","76"
"male","group C","high school","free/reduced","completed","49","60","65"
"male","group D","some high school","standard","completed","80","82","82"
"female","group C","some high school","free/reduced","none","45","51","59"
"male","group C","some college","standard","none","61","63","58"
"male","group D","some college","free/reduced","none","61","55","50"
"female","group E","some college","free/reduced","none","62","71","72"
"male","group D","associate's degree","standard","none","67","68","64"
"male","group C","some college","standard","completed","65","69","69"
"female","group E","some high school","standard","none","76","84","83"
"female","group B","some high school","standard","completed","59","81","83"
"male","group C","bachelor's degree","standard","none","70","64","58"
"male","group B","some college","free/reduced","none","45","45","41"
"male","group C","master's degree","free/reduced","completed","73","85","77"
"female","group D","some college","free/reduced","completed","36","47","48"
"female","group D","bachelor's degree","standard","none","88","100","99"
"male","group C","some college","standard","none","69","62","54"
"male","group A","some high school","free/reduced","completed","39","50","43"
"male","group E","associate's degree","free/reduced","completed","92","88","82"
"male","group A","some high school","standard","completed","59","69","65"
"female","group A","some high school","standard","completed","52","74","72"
"female","group D","associate's degree","free/reduced","completed","49","64","70"
"female","group E","associate's degree","free/reduced","none","54","64","60"
"female","group C","high school","free/reduced","none","58","76","72"
"female","group C","some college","standard","completed","76","99","97"
"female","group B","high school","free/reduced","none","45","58","56"
"male","group C","some high school","standard","none","64","71","64"
"male","group C","some high school","free/reduced","none","47","50","50"
"male","group B","some high school","standard","none","50","47","43"
"male","group D","bachelor's degree","free/reduced","completed","67","58","68"
"female","group A","some high school","free/reduced","none","71","67","69"
"female","group B","associate's degree","standard","completed","69","77","83"
"male","group C","high school","standard","none","57","61","51"
"female","group C","high school","free/reduced","completed","70","85","84"
"male","group B","associate's degree","standard","none","73","71","68"
"female","group B","associate's degree","free/reduced","completed","60","71","64"
"male","group D","master's degree","standard","completed","93","88","95"
"male","group A","some high school","standard","completed","88","94","90"
"male","group C","associate's degree","free/reduced","completed","60","50","48"
"male","group D","some college","standard","none","93","80","79"
"male","group D","some college","free/reduced","completed","55","60","58"
"female","group C","some college","standard","none","57","73","70"
"female","group C","associate's degree","standard","none","69","78","72"
"male","group C","some college","standard","completed","56","65","69"
"male","group C","bachelor's degree","standard","none","100","95","89"
"male","group B","some high school","free/reduced","completed","41","46","39"
"male","group C","some college","free/reduced","none","77","68","65"
"male","group C","master's degree","standard","none","86","84","87"
"male","group C","some high school","standard","none","55","53","39"
"female","group C","master's degree","standard","none","69","74","80"
"female","group C","high school","free/reduced","completed","65","83","84"
"female","group D","bachelor's degree","standard","none","63","83","75"
"female","group B","high school","standard","none","49","63","56"
"female","group C","associate's degree","free/reduced","none","41","58","54"
"female","group C","high school","standard","completed","56","65","68"
"female","group A","high school","free/reduced","none","78","86","81"
"male","group C","some college","standard","none","82","78","71"
"female","group E","some high school","standard","none","68","69","68"
"male","group D","high school","free/reduced","completed","87","88","88"
"female","group C","some high school","free/reduced","none","51","66","64"
"female","group C","some high school","standard","completed","42","65","66"
"female","group B","some college","free/reduced","none","49","65","64"
"female","group D","associate's degree","free/reduced","none","40","41","47"
"female","group C","master's degree","standard","none","60","70","72"
"male","group E","some high school","standard","none","87","81","67"
"female","group E","associate's degree","free/reduced","none","53","59","60"
"female","group A","some high school","standard","completed","68","77","80"
"male","group E","some college","standard","none","76","68","66"
"male","group C","some college","standard","none","36","41","38"
"male","group E","some college","free/reduced","none","45","34","29"
"female","group C","some high school","standard","none","72","73","70"
"female","group E","associate's degree","free/reduced","completed","58","71","74"
"male","group B","associate's degree","free/reduced","completed","59","71","64"
"male","group C","some college","standard","none","76","73","73"
"female","group E","bachelor's degree","standard","completed","87","87","93"
"female","group D","high school","standard","none","84","99","97"
"male","group C","some college","free/reduced","none","75","70","64"
"male","group B","some college","standard","completed","86","84","84"
"female","group B","associate's degree","standard","none","52","58","61"
"female","group C","associate's degree","standard","completed","80","84","91"
"female","group B","bachelor's degree","standard","completed","63","72","69"
"female","group D","high school","standard","completed","29","40","39"
"male","group C","bachelor's degree","free/reduced","none","65","63","58"
"female","group C","associate's degree","standard","none","66","73","63"
"male","group B","high school","standard","none","83","74","79"
"female","group D","some high school","free/reduced","none","61","61","60"
"female","group C","associate's degree","free/reduced","none","64","71","72"
"female","group D","some college","free/reduced","none","54","64","60"
"male","group D","high school","standard","completed","94","86","87"
"male","group E","bachelor's degree","standard","completed","100","95","93"
"male","group D","some college","free/reduced","none","62","64","61"
"female","group D","bachelor's degree","standard","none","86","95","100"
"male","group C","some college","standard","none","56","53","47"
"male","group C","high school","standard","completed","69","67","69"
"female","group E","high school","standard","none","67","77","70"
"female","group D","some college","standard","completed","70","86","86"
"male","group D","some high school","standard","none","75","70","65"
"male","group C","some high school","free/reduced","completed","42","37","37"
"male","group B","master's degree","standard","none","93","90","88"
"male","group C","high school","free/reduced","none","60","60","52"
"female","group B","bachelor's degree","standard","completed","61","68","77"
"male","group B","high school","free/reduced","none","57","58","49"
"male","group C","some college","standard","completed","60","62","58"
"male","group A","master's degree","standard","completed","69","57","65"
"female","group C","master's degree","standard","none","51","60","60"
"female","group B","master's degree","free/reduced","completed","41","60","64"
"male","group B","some college","standard","none","71","70","62"
"male","group C","some college","standard","none","85","80","82"
"male","group C","bachelor's degree","standard","none","57","63","55"
"male","group D","master's degree","standard","none","100","93","95"
"male","group C","high school","standard","none","70","67","64"
"male","group D","some college","free/reduced","completed","63","52","62"
"male","group B","some high school","standard","none","71","67","64"
"male","group B","high school","standard","none","65","52","45"
"male","group B","some college","free/reduced","completed","69","76","73"
"male","group B","associate's degree","standard","none","81","71","69"
"male","group E","some high school","standard","none","76","62","61"
"male","group B","some high school","standard","none","59","57","46"
"female","group C","some college","free/reduced","completed","85","88","93"
"female","group D","some college","free/reduced","completed","51","69","74"
"female","group B","master's degree","free/reduced","none","54","69","60"
"female","group D","high school","standard","none","68","82","78"
"female","group C","associate's degree","free/reduced","completed","67","80","88"
"male","group D","associate's degree","standard","none","81","71","69"
"male","group B","bachelor's degree","standard","none","57","59","53"
"female","group D","some college","standard","none","84","91","95"
"male","group B","some college","standard","none","63","55","54"
"male","group C","some high school","standard","none","72","60","60"
"female","group C","some high school","standard","none","34","49","46"
"male","group C","some college","free/reduced","none","61","68","62"
"male","group D","high school","standard","none","73","72","61"
"male","group C","associate's degree","standard","none","61","53","54"
"male","group B","high school","standard","completed","76","77","82"
"male","group B","some college","free/reduced","none","56","63","50"
"female","group B","some college","free/reduced","none","62","74","72"
"male","group C","high school","standard","completed","82","76","74"
"male","group C","master's degree","standard","none","83","72","78"
"female","group C","some high school","free/reduced","none","44","58","48"
"female","group B","bachelor's degree","standard","none","49","50","50"
"male","group D","high school","standard","none","60","54","50"
"female","group D","bachelor's degree","standard","none","100","100","100"
"female","group B","some high school","free/reduced","none","52","71","63"
"female","group E","associate's degree","free/reduced","completed","73","87","83"
"female","group B","some high school","standard","none","59","63","60"
"female","group C","some college","standard","none","65","78","76"
"female","group D","some college","free/reduced","completed","45","55","57"
"female","group D","bachelor's degree","standard","none","64","67","74"
"female","group A","some college","free/reduced","none","50","51","51"
"male","group C","high school","standard","completed","70","74","68"
"female","group C","associate's degree","free/reduced","none","64","82","73"
"female","group C","some college","standard","none","58","58","55"
"male","group B","master's degree","standard","none","53","47","41"
"male","group B","master's degree","free/reduced","none","72","82","71"
"female","group A","some high school","standard","completed","77","95","91"
"female","group E","some college","standard","none","72","79","85"
"female","group D","associate's degree","standard","none","70","68","77"
"male","group E","bachelor's degree","standard","none","100","98","93"
"female","group D","some college","free/reduced","none","69","83","81"
"female","group D","some high school","standard","none","60","65","65"
"male","group E","some college","standard","completed","68","65","59"
"female","group E","some high school","standard","none","77","69","73"
"male","group E","bachelor's degree","free/reduced","none","52","60","50"
"male","group D","some high school","standard","none","68","64","57"
"female","group B","high school","standard","none","76","82","81"
"male","group C","some college","standard","none","55","48","46"
"female","group C","some college","standard","completed","53","63","64"
"male","group A","master's degree","free/reduced","none","83","76","77"
"male","group C","high school","standard","none","77","65","66"
"male","group B","associate's degree","free/reduced","completed","54","60","55"
"female","group B","some high school","standard","none","58","59","60"
"male","group C","high school","free/reduced","none","77","66","64"
"male","group B","master's degree","standard","none","71","55","59"
"female","group D","high school","free/reduced","completed","46","65","65"
"female","group D","high school","free/reduced","none","58","77","76"
"female","group E","bachelor's degree","standard","completed","58","54","66"
"female","group D","some college","free/reduced","none","54","64","68"
"female","group C","some college","standard","none","82","78","76"
"male","group B","some high school","standard","none","71","61","56"
"male","group D","high school","standard","none","72","70","70"
"male","group B","high school","standard","completed","50","44","46"
"female","group D","high school","free/reduced","none","41","47","52"
"female","group C","high school","standard","none","64","77","70"
"male","group A","associate's degree","standard","none","93","82","85"
"female","group D","some college","standard","completed","84","92","95"
"male","group E","bachelor's degree","standard","completed","88","86","83"
"male","group C","some college","free/reduced","completed","55","54","61"
"female","group D","associate's degree","free/reduced","none","84","88","91"
"male","group B","some college","free/reduced","completed","58","62","63"
"male","group E","high school","free/reduced","completed","56","57","53"
"female","group C","bachelor's degree","standard","completed","40","58","56"
"female","group D","associate's degree","free/reduced","none","67","76","80"
"male","group C","bachelor's degree","standard","none","73","68","66"
"male","group C","high school","free/reduced","none","47","43","38"
"male","group C","some college","standard","none","65","68","62"
"female","group C","bachelor's degree","standard","none","84","96","92"
"female","group A","some high school","standard","completed","68","87","87"
"male","group C","high school","standard","completed","77","82","76"
"male","group B","bachelor's degree","free/reduced","none","81","85","78"
"female","group A","high school","standard","none","62","84","79"
"female","group D","some college","standard","none","55","60","62"
"female","group D","some college","standard","completed","90","100","100"
"female","group B","high school","standard","none","55","59","62"
"male","group C","associate's degree","standard","completed","73","71","73"
"female","group D","associate's degree","standard","none","58","61","69"
"female","group D","associate's degree","standard","none","67","79","79"
"female","group C","master's degree","free/reduced","none","55","73","71"
"female","group D","some high school","free/reduced","none","53","67","69"
"female","group D","high school","free/reduced","none","33","46","51"
"male","group D","bachelor's degree","free/reduced","none","55","57","53"
"male","group B","associate's degree","standard","none","92","94","88"
"female","group D","some college","standard","none","85","92","88"
"male","group E","bachelor's degree","free/reduced","none","82","79","79"
"male","group C","high school","standard","none","47","41","33"
"female","group E","master's degree","free/reduced","none","89","92","94"
"female","group C","high school","standard","none","79","84","80"
"female","group B","some high school","standard","none","60","57","56"
"female","group B","some college","standard","none","79","76","76"
"male","group C","bachelor's degree","standard","completed","88","90","87"
"male","group E","associate's degree","free/reduced","completed","83","74","74"
"male","group A","associate's degree","standard","none","79","74","70"
"female","group B","associate's degree","standard","none","77","87","85"
"female","group D","master's degree","standard","none","76","72","80"
"female","group E","associate's degree","standard","completed","85","88","93"
"male","group E","master's degree","standard","none","96","82","88"
"male","group C","associate's degree","free/reduced","none","47","46","41"
